date,open,close,low,high,volume
2019-11-19,92.9,93.6,92.65,93.6,2821624.0
2019-11-20,93.6,93.25,93.1,93.6,7954619.0
2019-11-21,92.3,92.5,91.8,92.55,3283838.0
2019-11-22,92.55,92.55,92.4,92.75,1506544.0
2019-11-25,93.0,92.6,92.55,93.1,2520694.0
2019-11-26,92.95,92.85,92.8,93.3,3827480.0
2019-11-27,92.85,93.2,92.75,93.2,1957676.0
2019-11-28,93.25,92.95,92.8,93.25,1352720.0
2019-11-29,92.85,91.5,91.45,92.85,5344208.0
2019-12-02,91.95,92.05,91.75,92.15,2068341.0
2019-12-03,91.7,92.05,91.6,92.2,1410794.0
2019-12-04,91.85,91.7,91.4,91.9,2310508.0
2019-12-05,92.35,92.9,92.2,93.0,3441050.0
2019-12-06,93.3,93.05,92.75,93.5,3394433.0
2019-12-09,93.2,93.65,93.2,93.8,2912194.0
2019-12-10,93.4,93.0,92.8,93.4,5465431.0
2019-12-11,93.0,93.75,92.95,93.75,1936772.0
2019-12-12,94.35,95.85,94.35,96.1,8420111.0
2019-12-13,96.75,96.9,96.7,97.4,5880136.0
2019-12-16,96.95,96.85,96.65,97.05,4482448.0
2019-12-17,96.75,98.15,96.7,98.15,4703223.0
2019-12-18,98.0,98.2,97.8,98.3,3762355.0
2019-12-19,98.15,97.65,97.55,98.2,2271007.0
2019-12-20,97.55,96.95,96.7,97.55,3353485.0
2019-12-23,97.0,97.15,96.95,97.3,3416729.0
2019-12-24,97.3,97.2,97.2,97.45,1409728.0
2019-12-25,97.2,97.35,97.05,97.45,1789167.0
2019-12-26,97.55,97.35,97.1,97.55,3095969.0
2019-12-27,97.6,98.0,97.6,98.15,2978047.0
2019-12-30,98.0,97.8,97.6,98.25,3138762.0
2019-12-31,97.1,96.95,96.95,97.2,4303947.0
2020-01-02,97.05,97.65,97.05,98.0,4882015.0
2020-01-03,98.3,97.65,97.0,98.7,6813547.0
2020-01-06,97.05,96.4,96.4,97.1,9321768.0
2020-01-07,96.45,96.1,95.4,96.7,6328602.0
2020-01-08,95.2,95.65,95.05,96.2,8516995.0
2020-01-09,96.3,96.95,96.3,97.1,7163943.0
2020-01-10,97.5,97.3,96.95,97.8,9071925.0
2020-01-13,97.85,98.0,97.5,98.1,6650898.0
2020-01-14,98.5,98.6,98.4,98.85,11544956.0
2020-01-15,98.7,97.6,97.45,98.7,10259354.0
2020-01-16,97.15,97.3,97.0,97.5,8686499.0
2020-01-17,97.7,97.3,97.1,97.75,8121134.0
2020-01-20,97.55,97.7,97.55,98.0,6969945.0
2020-01-30,95.0,92.15,92.15,95.0,32262874.0
2020-01-31,90.65,89.95,89.65,90.65,22497767.0
2020-02-03,88.5,89.05,87.6,89.15,15823593.0
2020-02-04,89.45,90.6,89.2,90.95,8904471.0
2020-02-05,91.0,90.85,90.3,91.3,6701508.0
2020-02-06,91.65,92.3,91.35,92.3,10696477.0
2020-02-07,91.65,91.2,90.95,91.65,9554828.0
2020-02-10,90.0,91.0,89.6,91.2,7308908.0
2020-02-11,91.35,91.75,91.35,91.95,5115402.0
2020-02-12,92.0,92.65,92.0,92.9,5640117.0
2020-02-13,93.0,92.8,92.7,93.25,5754317.0
2020-02-14,92.8,92.95,92.55,93.25,4988165.0
2020-02-17,92.3,92.3,91.95,92.55,6266211.0
2020-02-18,91.4,91.05,91.0,91.6,12529356.0
2020-02-19,91.15,92.1,91.05,92.25,7947011.0
2020-02-20,92.35,91.7,91.35,92.5,6538336.0
2020-02-21,91.65,91.25,90.95,91.95,5401188.0
2020-02-24,90.25,90.1,89.7,90.4,13571936.0
2020-02-25,89.5,90.35,89.45,90.5,8840104.0
2020-02-26,89.15,89.45,88.9,89.75,15256003.0
2020-02-27,89.35,88.65,88.35,89.5,24688054.0
2020-03-02,87.5,87.35,86.85,88.25,27894641.0
2020-03-03,88.85,88.6,88.25,88.95,11071900.0
2020-03-04,88.8,89.2,88.4,89.2,8437415.0
2020-03-05,89.8,90.2,89.75,90.25,9785483.0
2020-03-06,89.65,88.35,88.3,89.65,17096376.0
2020-03-09,86.8,85.85,85.6,86.8,27734426.0
2020-03-10,85.0,86.3,84.9,86.3,23784345.0
2020-03-11,86.45,85.3,85.05,86.55,15306570.0
2020-03-12,84.5,82.15,81.15,84.5,44910246.0
